店舗名,電話番号,都道府県,市区町村,番地,建物名,webサイト,SSL証明書
焼肉×ビアガーデンBBQ食べ放題 焼肉少年団 渋谷店,050-5494-1967,東京都,渋谷区,宇田川町33-12,J＋RビルサイドR2F,https://r.gnavi.co.jp/1mhxs8wy0000/,True
中津からあげと博多串焼き九州屋台 寅男 茶屋町店,050-5494-7269,大阪府,大阪市北区,茶屋町4-13,茶屋町KビルB1,https://r.gnavi.co.jp/n9dm4dmj0000/,True
味処 あづま,050-5485-9854,鹿児島県,鹿児島市,小川町2-10,栄和第一ビル1F,https://r.gnavi.co.jp/naf9zswm0000/,True
韓無量小田原店,050-5488-2334,神奈川県,小田原市,栄町2-8-8,4F,https://r.gnavi.co.jp/444gbcer0000/,True
味処 あづま,050-5485-9854,鹿児島県,鹿児島市,小川町2-10,栄和第一ビル1F,https://r.gnavi.co.jp/naf9zswm0000/,True
博多串焼き食べ放題 博多料理完全個室居酒屋 金の器 錦糸町店,050-5494-4593,東京都,墨田区,江東橋4-28-1,下町ビル1F,https://r.gnavi.co.jp/kdbd8tvy0000/,True
完全個室 創彩酒家 福乃家 大宮店,050-5493-6086,埼玉県,さいたま市大宮区,仲町1-53,田村ビル3F,https://r.gnavi.co.jp/pbdab5sf0000/,True
味処 あづま,050-5485-9854,鹿児島県,鹿児島市,小川町2-10,栄和第一ビル1F,https://r.gnavi.co.jp/naf9zswm0000/,True
健康中華庵 青蓮日本橋店,050-5486-3216,東京都,中央区,八重洲1-3-7,八重洲ファーストフィナンシャルビルB1 モグモグキッチン内,https://r.gnavi.co.jp/ga2e400/,True
シュラスコBBQ・肉寿司食べ放題 牛鶏豚 新宿店,070-2636-8051,東京都,新宿区,歌舞伎町1-12-2,第58東京ビル3F,https://r.gnavi.co.jp/8h5w546g0000/,True
中華旬彩料理 東方紅 調布パルコ店,050-5488-5873,東京都,調布市,小島町1-38-1,調布パルコ7F,https://r.gnavi.co.jp/597mz0tg0000/,True
以心伝心川越店,050-5484-5584,埼玉県,川越市,菅原町22-1,大沢ビル2F,https://r.gnavi.co.jp/a147204/,True
DOOR lounge北新地,050-5487-3002,大阪府,大阪市北区,曽根崎新地1-2-13,ふじ久ビル1F,https://r.gnavi.co.jp/kabr700/,True
個室 べこや名駅店,050-5484-5951,愛知県,名古屋市中村区,名駅3-22-8,大東海ビルB1,https://r.gnavi.co.jp/n238910/,True
北海道 キタ酒場梅田店,06-6344-8101,大阪府,大阪市北区,梅田1-8-16,ヒルトンプラザイーストB2,https://r.gnavi.co.jp/k065440/,True
石焼き肉と完全個室 のろし屋～狼煙屋～ 新宿三丁目店,050-5494-2497,東京都,新宿区,新宿3-11-11,ダイアン新宿8F,https://r.gnavi.co.jp/f4nnus340000/,True
